iter	Passed	Remaining
482	537080	5022759
483	538076	5020569
484	539115	5018773
485	540247	5017853
486	541286	5016068
487	542343	5014455
488	543452	5013324
489	544489	5011527
490	545596	5010375
491	546743	5009596
492	547855	5008489
493	549011	5007782
494	550163	5007040
495	551210	5005345
496	552363	5004610
497	553517	5003884
498	554558	5002140
499	555679	5001112
500	556722	4999392
501	557770	4997712
502	558893	4996708
503	560026	4995791
504	561093	4994289
505	562242	4993510
506	563370	4992551
507	564496	4991568
508	565499	4989508
509	566624	4988518
510	567679	4986912
511	568796	4985857
512	569826	4984039
513	570886	4982480
514	572038	4981735
515	573149	4980624
516	574197	4978970
517	575239	4977265
518	576241	4975213
519	577397	4974501
520	578524	4973530
521	579555	4971743
522	580591	4969995
523	581610	4968107
524	582842	4968038
525	583883	4966339
526	584999	4965284
527	586139	4964425
528	587275	4963530
529	588389	4962454
530	589534	4961638
531	590677	4960806
532	591844	4960165
533	592977	4959249
534	593990	4957320
535	595142	4956559
536	596301	4955851
537	597417	4954789
538	598570	4954035
539	599717	4953219
540	600834	4952165
541	601854	4950310
542	603024	4949687
543	604058	4947945
544	605167	4946830
545	606293	4945844
546	607357	4944359
547	608508	4943578
548	609545	4941872
549	610584	4940183
550	611634	4938585
551	612694	4937070
552	613753	4935557
553	614842	4934277
554	615962	4933250
555	617070	4932123
556	618254	4931609
557	619401	4930789
558	620602	4930400
559	621775	4929788
560	622919	4928943
561	624054	4928034
562	625204	4927230
563	626338	4926306
564	627480	4925442
565	628522	4923797
566	629641	4922754
567	630814	4922129
568	631930	4921064
569	632939	4919160
570	634075	4918247
571	635215	4917370
572	636356	4916491
573	637498	4915621
574	638616	4914566
575	639636	4912764
576	640793	4912007
577	641918	4911007
578	643093	4910389
579	644138	4908782
580	645357	4908490
581	646496	4907600
582	647617	4906561
583	648636	4904756
584	649785	4903939
585	650917	4902988
586	652066	4902161
587	653209	4901291
588	654347	4900386
589	655402	4898854
590	656549	4898018
591	657670	4896980
592	658781	4895870
593	659815	4894188
594	660937	4893158
595	662055	4892102
596	663043	4890087
597	664157	4888998
598	665281	4887986
599	666435	4887193
600	667582	4886349
601	668716	4885407
602	669906	4884875
603	670948	4883262
604	672077	4882282
605	673162	4880981
606	674211	4879422
607	675217	4877557
608	676281	4876110
609	677329	4874551
610	678351	4872803
611	679410	4871329
612	680547	4870409
613	681685	4869499
614	682705	4867747
615	683859	4866947
616	684871	4865141
617	685910	4863528
618	687055	4862668
619	688182	4861677
620	689301	4860633
621	690456	4859835
622	691601	4858972
623	692634	4857322
624	693758	4856312
625	694893	4855376
626	695962	4853976
627	697144	4853371
628	698298	4852563
629	699361	4851123
630	700390	4849458
631	701485	4848238
632	702607	4847212
633	703746	4846304
634	704895	4845466
635	706039	4844583
636	707161	4843553
637	708319	4842774
638	709445	4841773
639	710464	4840036
640	711486	4838332
641	712622	4837398
642	713646	4835706
643	714905	4835606
644	716033	4834615
645	717044	4832838
646	718174	4831859
647	719315	4830957
648	720452	4830030
649	721565	4828939
650	722630	4827525
651	723794	4826779
652	724923	4825794
653	725968	4824246
654	727023	4822773
655	728156	4821816
656	729303	4820951
657	730337	4819342
658	731461	4818321
659	732591	4817342
660	733639	4815825
661	734765	4814825
662	735908	4813929
663	737044	4812988
664	738195	4812148
665	739250	4810676
666	740418	4809944
667	741527	4808825
668	742655	4807833
669	743766	4806732
670	744804	4805156
671	745923	4804104
672	747061	4803172
673	748095	4801576
674	749281	4800952
675	750448	4800204
676	751564	4799130
677	752619	4797673
678	753800	4797014
679	754956	4796191
680	756081	4795179
681	757110	4793553
682	758154	4792025
683	759282	4791030
684	760406	4790002
685	761523	4788938
686	762599	4787615
687	763743	4786720
688	764896	4785876
689	766017	4784836
690	767196	4784150
691	768341	4783261
692	769466	4782241
693	770582	4781166
694	771653	4779809
695	772778	4778792
696	773933	4777955
697	775053	4776908
698	776175	4775867
699	777263	4774616
700	778461	4774044
701	779618	4773220
702	780767	4772343
703	781923	4771507
704	783061	4770565
705	784115	4769111
706	785268	4768258
707	786437	4767501
708	787595	4766672
709	788763	4765906
710	789903	4764975
711	791040	4764018
712	792172	4763033
713	793289	4761960
714	794451	4761150
715	795461	4759435
716	796629	4758665
717	797758	4757659
718	798878	4756602
719	799919	4755075
720	800981	4753676
721	802107	4752655
722	803275	4751877
723	804431	4751031
724	805545	4749942
725	806692	4749042
726	807811	4747977
727	808952	4747040
728	809986	4745479
729	811219	4745080
730	812342	4744037
731	813403	4742634
732	814429	4741024
733	815553	4739988
734	816697	4739067
735	817827	4738063
736	818989	4737247
737	820141	4736375
738	821168	4734772
739	822217	4733308
740	823252	4731760
741	824391	4730807
742	825534	4729879
743	826695	4729052
744	827812	4727976
745	828948	4727005
746	830103	4726144
747	831250	4725237
748	832400	4724344
749	833441	4722832
750	834606	4722030
751	835756	4721134
752	836897	4720190
753	838093	4719553
754	839235	4718614
755	840354	4717548
756	841507	4716667
757	842642	4715685
758	843778	4714711
759	844933	4713840
760	846077	4712909
761	847211	4711916
762	848232	4710300
763	849385	4709419
764	850403	4707789
765	851479	4706481
766	852614	4705496
767	853788	4704732
768	854941	4703846
769	855961	4702231
770	856955	4700471
771	858118	4699644
772	859276	4698788
773	860443	4697978
774	861583	4697017
775	862680	4695829
776	863862	4695099
777	865005	4694153
778	866167	4693315
779	867345	4692559
780	868348	4690863
781	869493	4689929
782	870571	4688631
783	871704	4687635
784	872729	4686057
785	873764	4684532
786	874893	4683516
787	876029	4682535
788	877053	4680953
789	878161	4679825
790	879279	4678742
791	880417	4677773
792	881560	4676829
793	882732	4676035
794	883775	4674561
795	884956	4673814
796	886135	4673057
797	887267	4672053
798	888457	4671351
799	889600	4670405
800	890773	4669609
801	891923	4668699
802	893083	4667833
803	894230	4666906
804	895376	4665970
805	896507	4664953
806	897563	4663546
807	898712	4662629
808	899894	4661878
809	901045	4660964
810	902106	4659587
811	903255	4658660
812	904354	4657480
813	905427	4656168
814	906470	4654695
815	907494	4653132
816	908630	4652143
817	909758	4651112
818	910791	4649595
819	911810	4648008
820	912990	4647242
821	914167	4646461
822	915251	4645207
823	916394	4644252
824	917543	4643326
825	918730	4642590
826	919881	4641672
827	921067	4640933
828	922107	4639456
829	923268	4638590
830	924414	4637647
831	925540	4636604
832	926691	4635683
833	927816	4634634
834	928947	4633611
835	930103	4632714
836	931171	4631380
837	932324	4630469
838	933480	4629574
839	934620	4628594
840	935669	4627167
841	936799	4626144
842	937981	4625372
843	939102	4624301
844	940125	4622749
845	941279	4621837
846	942438	4620951
847	943450	4619348
848	944581	4618326
849	945653	4617011
850	946807	4616106
851	947955	4615164
852	948997	4613706
853	950135	4612718
854	951186	4611306
855	952202	4609729
856	953252	4608316
857	954444	4607588
858	955588	4606624
859	956631	4605181
860	957790	4604289
861	958910	4603216
862	960075	4602356
863	961204	4601323
864	962293	4600097
865	963336	4598652
866	964477	4597678
867	965529	4596278
868	966622	4595070
869	967751	4594039
870	968807	4592657
871	969917	4591537
872	970963	4590108
873	971991	4588601
874	973128	4587605
875	974281	4586686
